Date,12ema,20sd,26ema,Change,Close,FT 100 components,FT 27 components,FT 3 components,FT 6 components,FT 81 components,FT 9 components,High,Low,MACD,Open,PercentageChange,TurnoverRatio,Volatility,Volume,ema,lower_band,ma21,ma7,momentum,upper_band
2018-02-02,169.58025839347476,4.932542074577386,171.59299611551543,-7.28,160.5,175.58972034356088,164.42237622953735,216.891270929306,124.89751198047422,169.63882692896138,191.09464830344973,166.8,160.1,-2.0127377220406686,166.0,-4.34,1.71,3.99,86593825,162.89890029349633,163.36824918417858,173.23333333333335,167.60857142857142,159.5,183.09841748248812
2018-02-05,167.56637248678635,6.167542033787234,170.47425566251425,-4.01,156.49,175.37959839500584,164.66798047865825,216.78668639531867,125.0366841080888,169.22161663283185,191.45209068317826,163.88,156.0,-2.9078831757279033,159.1,-2.5,1.43,4.91,72738522,158.62630009783211,160.11063021813985,172.4457142857143,165.52,155.49,184.78079835328876
2018-02-06,166.86846902728075,6.4826234132087235,169.92282931714286,6.54,163.03,175.15698333490357,164.91733393802863,216.68214287669727,125.17641345653281,168.81163820167842,191.80871877923667,163.72,154.0,-3.054360289862103,154.83,4.18,1.34,6.21,68243838,161.56210003261072,158.91046745929685,171.8757142857143,164.30857142857144,162.03,184.84096111213177
2018-02-07,165.74101225385294,6.996289900376939,169.15373084920634,-3.49,159.54,174.9229577067583,165.17039602197616,216.57764049720848,125.31669777441058,168.41001414835912,192.16452649114063,163.4,159.07,-3.4127185953533967,163.09,-2.14,1.02,2.66,51608580,160.21403334420356,157.17789638972232,171.1704761904762,163.1057142857143,158.54,185.16305599123007
2018-02-08,164.1116257532602,7.788565488594164,168.11641745296882,-4.39,155.15,174.67864817698504,165.42712472433544,216.4731793803306,125.45753480703216,168.01784513750763,192.51950774453425,161.0,155.03,-4.004791699708619,160.29,-2.75,1.07,3.74,54390516,156.8380111147345,154.68001187995452,170.25714285714284,161.41714285714286,154.15,185.83427383433116
2018-02-09,162.9267602527586,8.2515507953365,167.24927541941557,1.26,156.41,174.42522141793754,165.68747663123358,216.36875964925287,125.59892229643849,167.63620763074468,192.87365649128532,157.89,150.24,-4.322515166656956,157.07,0.81,1.39,4.93,70672608,156.55267037157816,152.90261269504128,169.40571428571428,159.84285714285716,155.41,185.90881587638728
2018-02-12,162.89341252156498,8.145620780299208,166.91303279575516,6.3,162.71,174.1638798361416,165.95140693431546,216.26438142687522,125.74085798142609,167.26615159969361,193.22696670957941,163.89,157.51,-4.019620274190174,158.5,4.03,1.2,4.08,60819539,160.65755679052606,152.51590129654446,168.80714285714288,159.1185714285714,161.71,185.0983844177413
2018-02-13,163.11596444132422,7.977877619862141,166.7224377738474,1.63,164.34,173.89585716259464,166.2188694444061,216.16004483580843,125.88333959757259,166.90869831205973,193.5794324040141,164.75,161.65,-3.6064733325231657,161.95,1.0,0.64,1.91,32549163,163.11251893017536,152.2442447602757,168.2,159.66714285714286,163.34,184.15575523972427
2018-02-14,163.77043145035125,7.521586758798378,166.77040534615497,3.03,167.37,173.6224139225547,166.48981660560463,216.05574999837384,126.02636487726197,166.56483819584096,193.93104760569213,167.54,162.88,-2.99997389580372,163.04,1.84,0.8,2.84,40644933,165.9508396433918,152.73682648240325,167.78,161.22142857142856,166.37,182.82317351759676
2018-02-15,165.18882661183568,7.112633293663629,167.23111606125462,5.62,172.99,173.34483280273037,166.7641995098073,215.95149703660306,126.16993154970932,166.23552878652467,194.2818063723137,173.09,169.0,-2.042289449418945,169.79,3.36,1.01,2.44,51147171,170.64361321446393,153.26378103172036,167.48904761904762,162.6442857142857,171.99,181.7143142063749
