Date,Open,Close,High,Low,Volume,Volatility,PercentageChange,Change,TurnoverRatio
2022-07-04,2020.01,2018.0,2024.29,2001.01,25076,1.15,-0.54,-11.05,0.2
2022-07-05,2025.28,2033.01,2054.45,2010.0,26329,2.2,0.74,15.01,0.21
2022-07-06,2032.0,2002.0,2039.0,1986.0,32752,2.61,-1.53,-31.01,0.26
2022-07-07,2005.0,1990.0,2009.35,1985.01,20932,1.22,-0.6,-12.0,0.17
2022-07-08,2005.0,1999.0,2014.89,1996.16,15644,0.94,0.45,9.0,0.12
2022-07-11,1990.2,1963.6,1994.77,1950.5,23949,2.21,-1.77,-35.4,0.19
2022-07-12,1965.0,1948.41,1972.8,1930.06,23447,2.18,-0.77,-15.19,0.19
2022-07-13,1945.0,1958.89,1972.0,1940.67,19854,1.61,0.54,10.48,0.16
2022-07-14,1960.0,1953.0,1976.8,1941.0,20527,1.83,-0.3,-5.89,0.16
2022-07-15,1945.11,1949.5,1999.68,1944.51,33416,2.82,-0.18,-3.5,0.27
2022-07-18,1952.36,1951.66,1959.0,1922.0,24221,1.9,0.11,2.16,0.19
2022-07-19,1945.0,1943.1,1951.65,1926.0,21956,1.31,-0.44,-8.56,0.17
2022-07-20,1958.75,1950.1,1970.0,1945.0,18705,1.29,0.36,7.0,0.15
2022-07-21,1943.1,1939.0,1955.9,1934.51,14061,1.1,-0.57,-11.1,0.11
2022-07-22,1949.22,1947.0,1962.0,1935.0,25114,1.39,0.41,8.0,0.2
2022-07-25,1949.51,1944.65,1952.3,1931.0,16912,1.09,-0.12,-2.35,0.13
2022-07-26,1952.99,1950.21,1964.97,1947.02,20685,0.92,0.29,5.56,0.16
2022-07-27,1942.0,1919.6,1948.0,1917.0,21490,1.59,-1.57,-30.61,0.17
2022-07-28,1921.1,1898.0,1938.0,1892.66,34870,2.36,-1.13,-21.6,0.28
2022-07-29,1895.1,1898.44,1918.99,1878.1,37032,2.15,0.02,0.44,0.29
2022-08-01,1890.01,1890.3,1908.0,1881.18,21037,1.41,-0.43,-8.14,0.17
2022-08-02,1880.0,1879.98,1887.98,1858.01,28221,1.59,-0.55,-10.32,0.22
2022-08-03,1889.99,1885.0,1904.0,1877.0,24598,1.44,0.27,5.02,0.2
2022-08-04,1890.0,1916.01,1923.1,1880.13,30357,2.28,1.65,31.01,0.24
2022-08-05,1927.8,1923.96,1935.0,1904.9,20086,1.57,0.41,7.95,0.16
2022-08-08,1915.15,1911.53,1932.88,1907.51,16799,1.32,-0.65,-12.43,0.13
2022-08-09,1911.53,1910.0,1918.99,1905.0,13875,0.73,-0.08,-1.53,0.11
2022-08-10,1909.98,1876.0,1918.0,1864.58,27927,2.8,-1.78,-34.0,0.22
2022-08-11,1886.0,1906.9,1907.0,1878.01,26061,1.55,1.65,30.9,0.21
2022-08-12,1906.9,1928.0,1930.0,1900.0,20260,1.57,1.11,21.1,0.16
2022-08-15,1920.46,1919.89,1939.5,1915.55,19323,1.24,-0.42,-8.11,0.15
